25-06-18 06:13:14.225 [main] INFO  c.t.journalapp.JournalApplication - Starting JournalApplication using Java 17.0.13 on apples-MacBook-Pro.local with PID 2055 (/Users/apple/Desktop/Irshad/java/Java/Spring/journalapp/target/classes started by apple in /Users/apple/Desktop/Irshad/java/Java/Spring/journalapp) 
25-06-18 06:13:16.673 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http) 
25-06-18 06:13:16.683 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-06-18 06:13:16.685 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-06-18 06:13:16.685 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79] 
25-06-18 06:13:16.797 [main] INFO  o.a.c.c.C.[.[localhost].[/prod] - Initializing Spring embedded WebApplicationContext 
25-06-18 06:13:16.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2277 ms 
25-06-18 06:13:17.337 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "10.15.7"}, "platform": "Java/Oracle Corporation/17.0.13+10-LTS-268", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='meirshad07', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@7d4d8579]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.jl0ajab.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-q34iyo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-06-18 06:13:17.397 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:17.428 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:17.430 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:18.107 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@7b18658a from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-06-18 06:13:18.374 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:20583}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.374 [cluster-rtt-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:20583}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.374 [cluster-rtt-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:24096}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.374 [cluster-rtt-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:23673}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.374 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:23673}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.374 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:24096}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.375 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=461809579, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000109, setVersion=251, topologyVersion=TopologyVersion{processId=685195f8189e922658b8a488, counter=6}, lastWriteDate=Wed Jun 18 06:13:18 IST 2025, lastUpdateTimeNanos=5958976078358} 
25-06-18 06:13:18.375 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=457374587, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=685193c79b188a7195d8875f, counter=4}, lastWriteDate=Wed Jun 18 06:13:18 IST 2025, lastUpdateTimeNanos=5958975963108} 
25-06-18 06:13:18.375 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=462239842, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=6851986c2d04923514f70196, counter=3}, lastWriteDate=Wed Jun 18 06:13:18 IST 2025, lastUpdateTimeNanos=5958975728627} 
25-06-18 06:13:18.382 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000109 from replica set primary ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.383 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 251 from replica set primary ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.384 [cluster-ClusterId{value='68520ba577da0c255b6303df', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:18.999 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:24008}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:20.752 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1a02ebe0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@58b3eb1, org.springframework.security.web.context.SecurityContextPersistenceFilter@1b465fa9, org.springframework.security.web.header.HeaderWriterFilter@3eb0fd88, org.springframework.security.web.authentication.logout.LogoutFilter@52eca410, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@56402642, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@598e5cb8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d95166a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6d7e2795, org.springframework.security.web.session.SessionManagementFilter@7538cfe6, org.springframework.security.web.access.ExceptionTranslationFilter@6ab50d1c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@574218f] 
25-06-18 06:13:20.817 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"] 
25-06-18 06:13:20.851 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/prod' 
25-06-18 06:13:20.864 [main] INFO  c.t.journalapp.JournalApplication - Started JournalApplication in 8.362 seconds (JVM running for 9.728) 
25-06-18 06:13:25.398 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[.[localhost].[/prod] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-06-18 06:13:25.400 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-06-18 06:13:25.404 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms 
25-06-18 06:13:41.581 [main] INFO  c.t.journalapp.JournalApplication - Starting JournalApplication using Java 17.0.13 on apples-MacBook-Pro.local with PID 2069 (/Users/apple/Desktop/Irshad/java/Java/Spring/journalapp/target/classes started by apple in /Users/apple/Desktop/Irshad/java/Java/Spring/journalapp) 
25-06-18 06:13:41.589 [main] INFO  c.t.journalapp.JournalApplication - The following 1 profile is active: "prod" 
25-06-18 06:13:42.979 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-18 06:13:42.982 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-06-18 06:13:43.263 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 273 ms. Found 3 MongoDB repository interfaces. 
25-06-18 06:13:43.292 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-18 06:13:43.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-06-18 06:13:43.317 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.ConfigJournalAppRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-18 06:13:43.318 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-18 06:13:43.319 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-18 06:13:43.320 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces. 
25-06-18 06:13:44.397 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http) 
25-06-18 06:13:44.410 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
25-06-18 06:13:44.416 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-06-18 06:13:44.416 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79] 
25-06-18 06:13:44.571 [main] INFO  o.a.c.c.C.[.[localhost].[/prod] - Initializing Spring embedded WebApplicationContext 
25-06-18 06:13:44.572 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2787 ms 
25-06-18 06:13:45.287 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "10.15.7"}, "platform": "Java/Oracle Corporation/17.0.13+10-LTS-268", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='meirshad07', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@b5b9333]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.jl0ajab.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-q34iyo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-06-18 06:13:45.304 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:45.378 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:45.381 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-18 06:13:46.819 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:20603}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-18 06:13:46.821 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:23694}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-18 06:13:46.822 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=731668991, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=6851986c2d04923514f70196, counter=3}, lastWriteDate=Wed Jun 18 06:13:46 IST 2025, lastUpdateTimeNanos=5987419588265} 
25-06-18 06:13:46.825 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=733665374, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=685193c79b188a7195d8875f, counter=4}, lastWriteDate=Wed Jun 18 06:13:46 IST 2025, lastUpdateTimeNanos=5987421037534} 
25-06-18 06:13:46.832 [cluster-rtt-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:24129}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-18 06:13:46.833 [cluster-ClusterId{value='68520bc18b039a3b670d5364', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:24129}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
