25-06-16 23:55:37.008 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.techn.journalapp.service.RedisTest], using SpringBootContextLoader 
25-06-16 23:55:40.269 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-16 23:55:40.269 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces. 
25-06-16 23:55:41.242 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "10.15.7"}, "platform": "Java/Oracle Corporation/17.0.13+10-LTS-268", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='meirshad07', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@31acfd4e]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.jl0ajab.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-q34iyo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-06-16 23:55:41.309 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:55:41.347 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:55:41.348 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-16 23:55:41.748 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@37e7c4cc from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
25-06-16 23:55:42.254 [cluster-rtt-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:6469}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.254 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:6192}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.255 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=452384009, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=68504089e18d91dbd817d132, counter=3}, lastWriteDate=Mon Jun 16 23:55:42 IST 2025, lastUpdateTimeNanos=18494528549997} 
25-06-16 23:55:42.258 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:6738}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.254 [cluster-rtt-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:6183}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.258 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:6469}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.259 [cluster-rtt-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:6689}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.265 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=449481834, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=685040081086f8c63cb6590b, counter=4}, lastWriteDate=Mon Jun 16 23:55:42 IST 2025, lastUpdateTimeNanos=18494531954585} 
25-06-16 23:55:42.265 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=459243031, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000108, setVersion=251, topologyVersion=TopologyVersion{processId=68504048285850513636bd53, counter=6}, lastWriteDate=Mon Jun 16 23:55:42 IST 2025, lastUpdateTimeNanos=18494531718790} 
25-06-16 23:55:42.267 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000108 from replica set primary ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.267 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 251 from replica set primary ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.267 [cluster-ClusterId{value='685061a567879b54b1107bf0', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:42.743 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:6682}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-16 23:55:45.060 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7dc92a06, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2419a5db, org.springframework.security.web.context.SecurityContextPersistenceFilter@341964d0, org.springframework.security.web.header.HeaderWriterFilter@582ea164, org.springframework.security.web.authentication.logout.LogoutFilter@2b19b346, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4b2acb12, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7c5d36c3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6cd7dc74, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52bb3dcd, org.springframework.security.web.session.SessionManagementFilter@5f911d24, org.springframework.security.web.access.ExceptionTranslationFilter@3180aee, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@337cb81d] 
25-06-16 23:55:45.211 [main] INFO  c.techn.journalapp.service.RedisTest - Started RedisTest in 7.589 seconds (JVM running for 10.022) 
